ZCTA20,TOTPOP,MEDFAMINC
02180,22992,153873.0
02184,38748,155251.0
02186,28683,203068.0
02188,15313,122687.0
02189,15567,111398.0
02190,18516,144479.0
02191,7904,125648.0
02199,1221,114549.0
02203,0,
02205,0,
02210,5706,250001.0
02215,24522,126607.0
02301,69225,80380.0
02302,35488,91954.0
02322,4730,140370.0
02324,25819,127377.0
02325,2712,
02330,11641,97798.0
02332,16041,197947.0
02333,14382,147083.0
02338,7728,136765.0
02339,14773,191310.0
02341,10513,136591.0
02343,11282,118561.0
02346,24268,99132.0
02347,11625,135335.0
02350,106,83750.0
02351,17003,141979.0
02356,12201,141350.0
02357,1319,
02359,18330,160781.0
02360,61412,126892.0
02364,13702,145268.0
02366,216,
02367,2923,125000.0
02368,34747,110905.0
02370,17721,118882.0
02375,11501,160139.0
02379,7648,134091.0
02382,15146,121957.0
02420,16356,250001.0
02421,17865,237219.0
02445,22124,208512.0
02446,31517,185417.0
02451,18379,162938.0
02452,15830,136228.0
02453,30365,128263.0
02457,1758,
02458,12706,208947.0
02459,19182,239335.0
02460,9888,186645.0
02461,7049,229534.0
02462,1438,243542.0
02464,3440,151630.0
02465,11823,213267.0
02466,8859,200984.0
02467,21709,250001.0
02468,5589,250001.0
02472,35300,144302.0
02474,28167,176458.0
02476,17739,178339.0
02478,26964,201730.0
02481,17100,250001.0
02482,11004,250001.0
02492,21192,244180.0
02493,11759,250001.0
02494,10765,250001.0
02532,13092,90479.0
02534,1460,164351.0
02535,2269,145357.0
02536,20909,106182.0
02537,6408,157838.0
02538,4494,96602.0
02539,5159,105458.0
02540,8615,141094.0
02542,766,47321.0
02543,801,121528.0
02553,76,
02554,13861,144740.0
02556,2375,173438.0
02557,1924,120412.0
02558,1820,101394.0
02559,3205,120242.0
02561,481,168750.0
02562,3485,135476.0
02563,10168,148281.0
02564,180,
02568,8547,112169.0
02571,10530,111000.0
02575,2606,129526.0
02576,4406,62284.0
02584,24,
02601,17178,80163.0
