zip,stabbr,cty_name,est_per_capita,MEDFAMINC
02131,MA,SUFFOLK,0.014129026140278788,120828.0
02132,MA,SUFFOLK,0.01849894291754757,167526.0
02134,MA,SUFFOLK,0.028938727809004396,99920.0
02135,MA,SUFFOLK,0.014928057553956835,100505.0
02136,MA,SUFFOLK,0.011949972150488632,106376.0
02138,MA,MIDDLESEX,0.02860074725043414,190378.0
02139,MA,MIDDLESEX,0.028577880369329588,148274.0
02140,MA,MIDDLESEX,0.025008119519324457,167153.0
02141,MA,MIDDLESEX,0.026801833078739064,132500.0
02142,MA,MIDDLESEX,0.13790791238265535,179667.0
02143,MA,MIDDLESEX,0.026057088712542933,156991.0
02144,MA,MIDDLESEX,0.01738470146271281,161688.0
02145,MA,MIDDLESEX,0.01574461938465983,117483.0
02148,MA,MIDDLESEX,0.015902112643783512,102510.0
02149,MA,MIDDLESEX,0.01791106090171511,77491.0
02150,MA,SUFFOLK,0.018884012539184952,70525.0
02151,MA,SUFFOLK,0.014605888566147347,90864.0
02152,MA,SUFFOLK,0.015080657873995061,137792.0
02155,MA,MIDDLESEX,0.018333255052995788,139636.0
02163,MA,SUFFOLK,0.017552657973921765,72708.0
02169,MA,NORFOLK,0.025304407758705568,106643.0
02170,MA,NORFOLK,0.012545162585307105,118250.0
02171,MA,NORFOLK,0.02047077758776783,122845.0
02176,MA,MIDDLESEX,0.017539098280014927,167917.0
02180,MA,MIDDLESEX,0.02696590118302018,153873.0
02184,MA,NORFOLK,0.03995044905543512,155251.0
02186,MA,NORFOLK,0.016943834326953247,203068.0
02188,MA,NORFOLK,0.018938157121400116,122687.0
02189,MA,NORFOLK,0.0266589580522901,111398.0
02190,MA,NORFOLK,0.02273709224454526,144479.0
02191,MA,NORFOLK,0.01935728744939271,125648.0
02199,MA,SUFFOLK,0.23505323505323505,114549.0
02210,MA,SUFFOLK,0.19085173501577288,250001.0
02215,MA,SUFFOLK,0.022143381453388795,126607.0
02301,MA,PLYMOUTH,0.021466233297219212,80380.0
02302,MA,PLYMOUTH,0.012623985572587917,91954.0
02322,MA,NORFOLK,0.04947145877378435,140370.0
02324,MA,PLYMOUTH,0.019946550989581317,127377.0
02330,MA,PLYMOUTH,0.01889872004123357,97798.0
02332,MA,PLYMOUTH,0.021819088585499656,197947.0
02333,MA,PLYMOUTH,0.019190654985398414,147083.0
02338,MA,PLYMOUTH,0.015010351966873706,136765.0
02339,MA,PLYMOUTH,0.04372842347525892,191310.0
